Artist,Title,Year,URL
Mariah Carey,All I Want for Christmas Is You,1994,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn?si=3c8d8c7875694db8
Brenda Lee,Rockin' Around The Christmas Tree,1958,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97?si=1bc1138156ba47f6
Bobby Helms,Jingle Bell Rock,1957,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya?si=a8e67d1ef6974c22
Wham!,Last Christmas,1984,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78?si=958b6198a5084a01
Ariana Grande,Santa Tell Me,2014,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb?si=4f5bc4d9396e497e
Bing Crosby,Winter Wonderland,1934,https://open.spotify.com/track/2IuUMx3uxxJAHcH41aYtn0?si=24bdbb6cb1824b55
Andy Williams,It's the Most Wonderful Time of the Year,1963,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN?si=68b39342ae7e4796
Kelly Clarkson,Underneath the Tree,2013,https://open.spotify.com/track/3YZE5qDV7u1ZD1gZc47ZeR?si=eb2f81d6601543db
Burl Ives,Holly Jolly Christmas,1964,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh?si=9273a1087e5c4751
Perry Como; The Fontane Sisters; Mitchell Ayres & His Orchestra,It's Beginning to Look a Lot Like Christmas,1951,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa?si=4593b69d109f42fa
Sia,Snowman,2018,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq?si=3aadcaef7de745d9
The Ronettes,Sleigh Ride,1963,https://open.spotify.com/track/5ASM6Qjiav2xPe7gRkQMsQ?si=49063fc6751e48b1
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,1959,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg?si=c6ed70a00e844f7f
John Williams,Carol of the Bells,1990,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI?si=90d0232783f14273
Lindsey Buckingham,Holiday Road,1983,https://open.spotify.com/track/6jp5izbiEvSiXXJjtDQlkb?si=e254e8b447864034
José Feliciano,Feliz Navidad,1970,https://open.spotify.com/track/0oPdaY4dXtc3ZsaG17V972?si=15c8a497aee147c4
Nat King Cole,The Christmas Song (Merry Christmas To You),1960,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON?si=a02d6641e58346f7
Vince Guaraldi Trio,Christmas Time Is Here,1965,https://open.spotify.com/track/06Pfxmp9TtC2H00apclouT?si=adc847f1a3614895
Elton John,Step Into Christmas,1974,https://open.spotify.com/track/11P4sSu6BH2lAbWk1sL6cK?si=38713b433ece4eb6
Darlene Love,Christmas (Baby Please Come Home),1962,https://open.spotify.com/track/47ohYW8e7dxCYn9qbUMBCI?si=18f0b8928ec54e2b
Frank Sinatra,Have Yourself A Merry Little Christmas,1957,https://open.spotify.com/track/2FPfeYlrbSBR8PwCU0zaqq?si=63aaf3eac3e340a2
The Pogues; Kirsty MacColl,Fairytale of New York,1988,https://open.spotify.com/track/4soJpnUFA0SPs7XTi6QIVp?si=68afbc737702472f
Chris Rea,Driving Home for Christmas,1986,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ?si=003d9400c03e41c7
Bing Crosby; The Andrews Sisters,Mele Kalikimaka (Merry Christmas),1945,https://open.spotify.com/track/04vLj9QUXoKdRlsp3gkURo?si=b5a9ca024b6a4b8d
Eagles,Please Come Home for Christmas,1960,https://open.spotify.com/track/0cwealcvftIKDBFJh1X014?si=9beec4052c7740ee
The Beach Boys,Little Saint Nick,1964,https://open.spotify.com/track/5xlS0QkVrSH7ssEbBgBzbM?si=fff149cab987446b
Gwen Stefani; Blake Shelton,You Make It Feel Like Christmas,2017,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ?si=cd7bd8b6ed964f7d
Nat King Cole,Deck The Hall,1960,https://open.spotify.com/track/0rHToGels2lt8Y0mCYoF90?si=eb41f541c9344fbc
Paul McCartney,Wonderful Christmastime,1980,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu?si=c5ed9c35e5fe4ebc
Bing Crosby,I'll Be Home For Christmas,1943,https://open.spotify.com/track/4lftz0V8DZhWSVtL4GrzMH?si=ced30b5911034dfd
Pentatonix,Hallelujah,2017,https://open.spotify.com/track/0HZk0QsXPhMNAWNDR3rYE8?si=a6988d8970de40e5
Bing Crosby,White Christmas,1997,https://open.spotify.com/track/4rp2Hr51C99Nx5AC9GfSeI?si=26f67b78a0944ea3
Bruce Springsteen,Santa Claus Is Comin' to Town,1981,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee?si=d43a8f8a09634373
Elvis Presley,Blue Christmas,1957,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ?si=d052b3df4d9f42d8
Stevie Wonder,What Christmas Means to Me,1967,https://open.spotify.com/track/7xZsOJBebpV9lsX3XUV7x3?si=095ffd7743b14968
Michael Bublé,It's Beginning to Look a Lot like Christmas,2012,https://open.spotify.com/track/5a1iz510sv2W9Dt1MvFd5R?si=abedcaabf9c94253
Kelly Clarkson; Ariana Grande,Santa Can’t You Hear Me,2021,https://open.spotify.com/track/2O3MQ6H3gjrIWDcpeTrikT?si=83391b5a04bc4ff1
Queen,Thank God It's Christmas,1984,https://open.spotify.com/track/3AymrUApW5JKKaNrHQhcBG?si=4311ce4d95b54926
Whitney Houston,Do You Hear What I Hear?,1995,https://open.spotify.com/track/5umJVEAPT2SocCoB99ZoaH?si=22ab8af08b2c4243
Frank Sinatra; B. Swanson Quartet,Let It Snow! Let It Snow! Let It Snow!,1945,https://open.spotify.com/track/0SUKNXEqZnRw7g0NO139FM?si=1e0b5cc36bd9443b
Burl Ives,Rudolph The Red-Nosed Reindeer,1965,https://open.spotify.com/track/47otoIkhx3fkdivEXL5OB6?si=fb385520d62d4c1e
Britney Spears,My Only Wish (This Year),2000,https://open.spotify.com/track/0YWUHZPJVg4iujddsJDwhM?si=8046ee054e0e4eea
Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),1947,https://open.spotify.com/track/25leEEaz1gIpp7o21Fqyjo?si=99bf928f90514671
Dolly Parton,Hard Candy Christmas,1984,https://open.spotify.com/track/0uTVChzibEWKrXojPaJ9y1?si=91ccc0763a704f8c
Idina Menzel; Michael Bublé,Baby It's Cold Outside (with Michael Bublé),2014,https://open.spotify.com/track/0Ie5uiv54KgCr7P4sYDTHl?si=7ae92d3773814724
Ed Sheeran; Elton John,Merry Christmas,2021,https://open.spotify.com/track/3bH2Eu9A9ymI4UnGHRmoXg?si=f1d8b8a9ea9c4fdf
Taylor Swift,Christmas Tree Farm,2019,https://open.spotify.com/track/2mvabkN1i2gLnGAPUVdwek?si=71630d55acc84f70
*NSYNC,Merry Christmas Happy Holidays,1998,https://open.spotify.com/track/4v9WbaxW8HdjqfUiWYWsII?si=34748ca35abc4fef
Shakin' Stevens,Merry Christmas Everyone,1991,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn?si=230a59a93aec4614
The Jackson 5,I Saw Mommy Kissing Santa Claus,1970,https://open.spotify.com/track/15sxLiiChE5dCW3Y756oas?si=29600034f52148d0
Wizzard,I Wish It Could Be Christmas Everyday,2007,https://open.spotify.com/track/1mH6tZC6iXIHPI6EixCwxw?si=9f482a0e50ad4669
Trans-Siberian Orchestra,Christmas Eve / Sarajevo 12/24,1996,https://open.spotify.com/track/3sBnSBnzpEYKpJYGsAIbup?si=8e6d2fe0afb64332
Destiny's Child,8 Days of Christmas,2001,https://open.spotify.com/track/7o4HtESXicUqk3oRqngIsS?si=5b0a524f6e284bbd
Frank Sinatra,Jingle Bells,2017,https://open.spotify.com/track/4KV9bM7a1KDc7b7OakFZic?si=fe3e356541514543
Justin Bieber,Mistletoe,2011,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA?si=d43bc671cca44678
Bing Crosby,Do You Hear What I Hear?,1962,https://open.spotify.com/track/5aDoUmxBsbdpS16alksb5Z?si=0eacea944bf24574
Eartha Kitt; Henri René and His Orchestra,Santa Baby,1953,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO?si=8a9206a5d6ed404d
Chuck Berry,Run Rudolph Run,1986,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ?si=fe5f96df896c45e2
Leona Lewis,One More Sleep,2013,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d?si=6926dcdaf377411a
Frank Sinatra,Silent Night,1818,https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0?si=11jgnKnwSl-yjUpCqQn1wQ
Frank Sinatra,We Wish You The Merriest,1964,https://open.spotify.com/track/6eg2f6xomaIwtGsov9HWHr?si=4e3d06d40c444b65
Sabrina Carpenter,A Nonsense Christmas,2023,https://open.spotify.com/track/73ye7F9Ub51dQ3CrnCHFhr?si=ff402a9443ca4523
Cher,DJ Play A Christmas Song,2023,https://open.spotify.com/track/18uSfZqFBxQFi8CsXOIbhy?si=a10947584b414bcc
Pentatonix,Mary Did You Know?,1991,https://open.spotify.com/track/4aCqRYHavLWbUCuoBjh7Xs?si=093111654c764391
Stevie Wonder,Someday At Christmas,1967,https://open.spotify.com/track/0OdTRhhGt8aq4UXh67CKQg?si=addbd41f6274448c
Run–D.M.C.,Christmas In Hollis,1988,https://open.spotify.com/track/41onDks2UPbyjer5fMeUWf?si=1db18ba832a14245
Donny Hathaway,This Christmas,1990,https://open.spotify.com/track/38xhBO2AKrJnjdjVnhJES6?si=c0d112f8bb0b42bf
Ella Fitzgerald,Frosty The Snowman,1960,https://open.spotify.com/track/65irrLqfCMRiO3p87P4C0D?si=f88be94237ff48fe
Jonas Brothers,Like It's Christmas,2019,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv?si=3170f5cb81ee4438
Elvis Presley,Here Comes Santa Claus,1957,https://open.spotify.com/track/7n7VsX3sv66znBwA8b5uhp?si=fd4f8de8e3bd416e
Jessie J,Man With The Bag,1950,https://open.spotify.com/track/2Ysi49tRdVH74d1Cnc4o94?si=48db1425babf4cc0
Band Aid,Do They Know It's Christmas?,1984,https://open.spotify.com/track/4Yg2w0P29BBBMixyeNjDtj?si=c9ff17e4c0dc41ba
